36783;1692164866;128894;1692164866;295272;
36696;1692164866;307622;1692164866;475254;
36773;1692164866;486877;1692164866;668697;
36797;1692164866;688539;1692164868;987888;
36764;1692164868;997229;1692164869;168051;
36688;1692164869;177202;1692164869;346003;
36785;1692164869;356929;1692164869;498015;
36713;1692164869;523152;1692164869;700168;
36713;1692164869;706944;1692164869;985132;
36774;1692164870;27755;1692164870;256568;
36714;1692164870;266957;1692164870;416979;
36775;1692164870;427049;1692164870;653968;
82466;1692164870;668015;1692164871;29732;
23556;1692164871;47307;1692164871;149513;
35766;1692164873;926880;1692164874;94674;
35926;1692164874;107112;1692164874;282144;
34122;1692164874;299791;1692164874;469850;
34156;1692164874;488276;1692164874;687350;
16803;1692164874;698673;1692164874;797800;
15090;1692164874;815547;1692164874;889828;
14683;1692164874;897651;1692164875;87100;
14850;1692164875;97150;1692164875;166914;
15186;1692164875;193700;1692164875;261240;
15207;1692164875;279070;1692164875;346639;
15357;1692164875;360044;1692164875;438531;
15555;1692164875;451689;1692164875;518178;
15658;1692164875;541267;1692164875;619010;
15722;1692164875;637303;1692164875;708416;
15603;1692164875;718682;1692164875;795892;
15794;1692164875;806939;1692164875;872122;
15933;1692164875;893107;1692164875;970045;
15966;1692164875;987063;1692164876;61250;
15955;1692164876;77009;1692164876;145581;
15946;1692164876;157544;1692164876;241876;
15952;1692164876;256986;1692164876;329492;
15936;1692164876;341772;1692164876;427353;
15952;1692164876;436995;1692164876;514283;
15964;1692164876;526957;1692164876;604006;
15915;1692164876;617108;1692164876;679089;
15998;1692164876;691231;1692164876;796040;
15963;1692164876;811272;1692164876;877962;
15970;1692164876;897321;1692164876;973897;
15950;1692164876;987674;1692164877;63633;
15936;1692164877;80952;1692164877;147270;
15986;1692164877;157045;1692164877;240044;
15976;1692164877;261321;1692164877;341803;
15947;1692164877;357272;1692164877;438997;
15930;1692164877;461026;1692164877;582312;
15937;1692164877;597998;1692164877;689251;
15972;1692164877;697546;1692164877;795492;
15990;1692164877;807357;1692164877;885588;
15952;1692164877;896928;1692164877;963453;
15990;1692164877;990284;1692164878;64034;
15937;1692164878;77569;1692164878;152176;
15990;1692164878;167046;1692164878;243815;
16004;1692164878;257030;1692164878;341872;
15984;1692164878;357098;1692164878;462529;
15954;1692164878;478087;1692164878;547447;
15957;1692164878;562081;1692164878;691111;
76698;1692164878;707099;1692164879;142124;
23870;1692164879;157192;1692164879;282333;
23204;1692164879;300335;1692164879;427862;
23074;1692164879;438911;1692164879;531199;
23021;1692164879;548995;1692164879;651026;
23076;1692164879;669143;1692164879;775395;
23031;1692164879;787197;1692164879;908292;
23023;1692164879;917300;1692164880;98367;
23054;1692164880;107097;1692164880;222097;
23089;1692164880;238142;1692164880;346546;
23029;1692164880;357353;1692164880;471560;
23044;1692164880;488188;1692164880;590907;
23045;1692164880;607084;1692164880;771407;
23054;1692164880;800085;1692164880;926838;
23009;1692164880;957545;1692164881;76054;
23072;1692164881;87291;1692164881;182605;
23063;1692164881;199442;1692164881;307637;
23006;1692164881;317070;1692164881;431778;
23071;1692164881;447176;1692164881;552322;
23116;1692164881;567613;1692164881;702292;
23025;1692164881;717112;1692164881;815317;
23006;1692164881;854352;1692164882;4301;
23042;1692164882;20224;1692164882;131785;
23041;1692164882;147073;1692164882;248944;
23001;1692164882;261837;1692164882;365136;
23023;1692164882;377865;1692164882;474484;
23032;1692164882;495862;1692164882;598283;
23021;1692164882;610526;1692164882;757614;
38602;1692164882;767012;1692164882;950002;
26024;1692164882;967195;1692164883;92304;
39303;1692164883;123966;1692164883;348241;
39161;1692164883;359723;1692164883;614361;
34362;1692164883;634703;1692164883;794615;
34638;1692164883;818148;1692164884;17715;
35168;1692164884;27489;1692164884;200581;
35487;1692164884;221917;1692164884;462909;
35024;1692164884;477237;1692164884;686877;
35338;1692164884;699199;1692164884;871651;
35835;1692164884;887290;1692164885;70501;
35504;1692164885;89907;1692164885;234454;
35877;1692164885;247499;1692164885;429187;
36456;1692164885;439596;1692164885;603381;
36530;1692164885;621173;1692164885;784494;
36420;1692164885;807516;1692164885;969698;
36429;1692164885;976872;1692164886;139261;
36422;1692164886;148517;1692164886;453469;
36515;1692164886;467041;1692164886;622484;
36517;1692164886;639042;1692164886;807647;
36523;1692164886;820785;1692164887;18092;
36442;1692164887;27342;1692164887;213105;
